id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,262104,0,0,511,511,440.0,248.0,1.0409296751022339,0.9754104614257812,0,0,512,512
1,3359,0,270,37,158,8.0,392.0,0.9842541217803955,0.9511770009994507,0,0,512,512
2,1499,133,0,52,43,152.0,24.0,0.9738953709602356,0.9743926525115967,0,0,512,512
3,1033,452,110,35,37,456.0,136.0,0.9684146046638489,0.9817833304405212,0,0,512,512
4,4973,367,446,95,65,424.0,504.0,0.9680050611495972,0.9516034126281738,0,0,512,512
5,895,130,106,30,41,152.0,136.0,0.9666527509689331,0.9591160416603088,0,0,512,512
6,560,501,232,10,58,504.0,248.0,0.9661890864372253,0.987522304058075,0,0,512,512
7,1396,41,162,40,54,56.0,184.0,0.9657001495361328,0.9843416213989258,0,0,512,512
8,399,80,214,23,25,88.0,216.0,0.9596025943756104,0.9900249242782593,0,0,512,512
9,2548,429,274,55,59,456.0,328.0,0.957377016544342,0.9652509689331055,0,0,512,512
10,1864,59,252,59,49,88.0,296.0,0.9556151628494263,0.9693446159362793,0,0,512,512
11,910,0,366,17,62,8.0,392.0,0.9524378180503845,0.9654054045677185,0,0,512,512
12,318,425,140,21,18,440.0,152.0,0.9499767422676086,0.9843260049819946,0,0,512,512
13,1338,29,373,50,37,72.0,408.0,0.9497007727622986,0.9668874144554138,0,0,512,512
14,848,106,428,32,33,136.0,440.0,0.9475401043891907,0.9696615934371948,0,0,512,512
15,2398,116,156,49,78,136.0,200.0,0.9473918080329895,0.9614754319190979,0,0,512,512
16,231,0,492,21,19,8.0,504.0,0.947054922580719,0.9743589758872986,0,0,512,512
17,99,164,432,11,10,168.0,440.0,0.9443597197532654,0.9800000190734863,0,0,512,512
18,281,435,95,17,19,440.0,104.0,0.9421976804733276,0.9754385948181152,0,0,512,512
19,1298,250,22,30,63,264.0,24.0,0.9390614628791809,0.9547852277755737,0,0,512,512
20,2440,131,65,53,82,152.0,104.0,0.923921525478363,0.9559294581413269,0,0,512,512
21,162,45,420,15,14,56.0,424.0,0.9197936058044434,0.9638554453849792,0,0,512,512
22,974,71,50,29,45,88.0,72.0,0.9090146422386169,0.9520479440689087,0,0,512,512
23,478,497,466,14,45,504.0,504.0,0.9009292721748352,0.9630390405654907,0,0,512,512
24,1457,0,142,37,50,24.0,168.0,0.8913233280181885,0.9533022046089172,0,0,512,512
